time,wx,wy,wz
11.624093055725098,0.19,0.56,0.15
11.6340651512146,0.19,0.23,0.15
11.644303798675537,0.19,-0.12,0.13
11.664590835571289,0.17,-0.5,0.05
11.666661977767944,0.17,-0.5,0.05
11.674113988876343,0.16,-0.47,-0.02
11.684517860412598,0.14,-0.42,-0.08
11.693485021591187,0.11,-0.44,-0.12
11.70349407196045,0.06,-0.52,-0.14
11.713508129119873,-0.01,-0.65,-0.16
11.723688125610352,-0.09,-0.77,-0.15
11.733870029449463,-0.18,-0.82,-0.13
11.76057481765747,-0.33,-0.65,-0.05
11.762651920318604,-0.37,-0.48,-0.0
11.76644492149353,-0.37,-0.48,-0.0
11.772904872894287,-0.36,-0.28,0.03
11.784060955047607,-0.33,-0.06,0.05
11.792901039123535,-0.27,0.14,0.06
11.803033828735352,-0.19,0.33,0.06
11.812984943389893,-0.09,0.49,0.05
11.82404088973999,0.0,0.6,0.03
11.833307027816772,0.09,0.63,0.01
11.861493110656738,0.24,0.39,-0.01
11.864090919494629,0.31,0.18,-0.0
11.86567997932434,0.31,0.18,-0.0
11.872326850891113,0.39,-0.05,0.01
11.883449077606201,0.46,-0.28,0.03
11.892477035522461,0.54,-0.48,0.05
11.902066946029663,0.59,-0.64,0.07
11.912367820739746,0.62,-0.75,0.08
11.92255687713623,0.61,-0.8,0.08
11.932142972946167,0.55,-0.77,0.07
11.942752838134766,0.46,-0.65,0.04
11.963137149810791,0.15,-0.31,-0.04
11.964582920074463,0.15,-0.31,-0.04
11.971685886383057,-0.02,-0.18,-0.08
11.983277797698975,-0.21,-0.1,-0.11
11.991966009140015,-0.38,-0.05,-0.14
12.002125978469849,-0.51,0.02,-0.17
12.011734962463379,-0.6,0.13,-0.18
12.021605968475342,-0.64,0.28,-0.16
12.032238006591797,-0.62,0.46,-0.13
12.041944026947021,-0.56,0.65,-0.08
12.061074018478394,-0.35,0.91,0.05
12.065199851989746,-0.35,0.91,0.05
12.071084022521973,-0.23,0.89,0.11
12.081830978393555,-0.12,0.73,0.16
12.090959072113037,-0.02,0.48,0.19
12.101073026657104,0.08,0.19,0.19
12.111072063446045,0.16,-0.09,0.15
12.120914936065674,0.22,-0.28,0.09
12.131181955337524,0.24,-0.42,0.01
12.157392024993896,0.24,-0.6,-0.14
12.158918857574463,0.24,-0.6,-0.14
12.162160873413086,0.2,-0.58,-0.18
12.170444965362549,0.14,-0.49,-0.21
12.181237936019897,0.08,-0.38,-0.2
12.19052505493164,0.02,-0.28,-0.17
12.201043128967285,-0.04,-0.2,-0.12
12.21013593673706,-0.07,-0.14,-0.07
12.220624923706055,-0.08,-0.07,-0.02
12.230585098266602,-0.06,0.04,0.02
12.257195949554443,0.02,0.38,0.07
12.259269952774048,0.02,0.38,0.07
12.262517929077148,0.09,0.57,0.08
12.269760131835938,0.16,0.73,0.08
12.281044006347656,0.21,0.8,0.07
12.289763927459717,0.25,0.76,0.06
12.299659013748169,0.25,0.59,0.05
12.310234069824219,0.24,0.36,0.04
12.319764137268066,0.22,0.11,0.03
12.330127000808716,0.2,-0.09,0.01
12.356607913970947,0.15,-0.31,-0.0
12.358371019363403,0.15,-0.31,-0.0
12.36159896850586,0.12,-0.32,-0.0
12.369134902954102,0.06,-0.26,-0.01
12.380290985107422,-0.01,-0.15,-0.02
12.38902997970581,-0.11,-0.02,-0.04
12.399331092834473,-0.21,0.09,-0.05
12.40898084640503,-0.29,0.17,-0.06
12.419428825378418,-0.35,0.19,-0.07
12.429054975509644,-0.38,0.18,-0.06
12.439046859741211,-0.38,0.17,-0.04
12.456882953643799,-0.36,0.17,-0.02
12.460454940795898,-0.3,0.2,0.0
12.468641996383667,-0.2,0.26,0.03
12.479405879974365,-0.08,0.31,0.05
12.488420963287354,0.04,0.39,0.08
12.498341083526611,0.14,0.46,0.1
12.50957202911377,0.22,0.48,0.12
12.518800020217896,0.29,0.44,0.13
12.528984069824219,0.34,0.32,0.13
12.553729057312012,0.4,-0.0,0.12
12.555928945541382,0.4,-0.0,0.12
12.558755874633789,0.4,-0.14,0.09
12.568397045135498,0.36,-0.24,0.06
12.578773975372314,0.3,-0.29,0.01
12.588137149810791,0.22,-0.3,-0.04
12.598006010055542,0.12,-0.27,-0.09
12.607863903045654,0.02,-0.25,-0.11
12.618003845214844,-0.09,-0.25,-0.11
12.628057956695557,-0.2,-0.27,-0.1
12.655211925506592,-0.36,-0.24,-0.03
12.657028913497925,-0.39,-0.15,0.01
12.66183614730835,-0.39,-0.15,0.01
12.667366027832031,-0.4,-0.02,0.04
12.678196907043457,-0.37,0.14,0.06
12.687546968460083,-0.33,0.28,0.06
12.69776701927185,-0.29,0.4,0.05
12.707334995269775,-0.25,0.47,0.03
12.717319011688232,-0.22,0.47,0.01
12.727209091186523,-0.19,0.39,-0.01
